state,Cases
Washington,3207
New.York,37877
California,3899
Massachusetts,2417
Georgia,1525
Colorado,1430
Florida,2357
New.Jersey,6876
Oregon,316
Texas,1563
Illinois,2538
Pennsylvania,1795
Iowa,179
Maryland,583
North Carolina,738
South Carolina,424
Tennessee,1097
Virginia,466
Arizona,508
Indiana,645
Kentucky,247
District.of.Columbia,231
Nevada,420
New.Hampshire,137
Minnesota,344
Nebraska,74
Ohio,868
Rhode Island,165
Wisconsin,728
Connecticut,1012
Hawaii,95
Oklahoma,248
Utah,396
Kansas,172
Louisiana,2304
Missouri,520
Vermont,158
Alaska,56
Arkansas,335
Delaware,130
Idaho,146
Maine,155
Michigan,2845
Mississippi,485
Montana,90
New Mexico,113
North Dakota,51
South Dakota,46
West.Virginia,52
Wyoming,53
